x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
insert,form_sub,normal,normal,normal,normal,normal,normal,normal,normal
insert,normal,normal,normal,insert,normal,normal,normal,normal,normal
normal,normal,normal,form_sub,normal,form_sub,normal,insert,form_sub,normal
form_sub,insert,normal,normal,insert,normal,normal,form_sub,normal,normal
insert,normal,normal,normal,normal,normal,normal,normal,normal,normal
insert,normal,normal,normal,normal,form_sub,normal,normal,normal,normal
normal,normal,insert,form_sub,normal,normal,form_sub,normal,normal,normal
form_sub,normal,normal,normal,normal,form_sub,insert,normal,normal,normal
normal,insert,normal,normal,normal,normal,sem_sub,normal,normal,normal
form_sub,insert,insert,normal,normal,form_sub,insert,normal,normal,normal
normal,insert,normal,normal,insert,insert,normal,normal,normal,normal
form_sub,normal,normal,normal,normal,normal,normal,normal,normal,normal
form_sub,form_sub,form_sub,form_sub,normal,normal,normal,normal,normal,normal
normal,insert,normal,form_sub,normal,normal,normal,normal,normal,normal
insert,normal,sem_sub,normal,normal,form_sub,normal,normal,normal,normal
insert,normal,insert,form_sub,normal,normal,normal,form_sub,normal,normal
normal,normal,normal,normal,form_sub,normal,normal,normal,normal,normal
insert,normal,normal,normal,normal,normal,normal,normal,normal,normal
form_sub,normal,insert,normal,form_sub,normal,normal,normal,normal,normal
form_sub,insert,normal,normal,form_sub,normal,normal,normal,normal,normal
form_sub,normal,normal,normal,normal,normal,form_sub,normal,normal,normal
normal,insert,form_sub,normal,insert,normal,normal,form_sub,normal,normal
normal,normal,normal,form_sub,normal,form_sub,normal,sem_sub,normal,normal
form_sub,normal,normal,form_sub,normal,normal,normal,normal,normal,normal
normal,insert,sem_sub,normal,normal,normal,normal,normal,normal,normal
form_sub,insert,normal,normal,normal,normal,normal,normal,form_sub,normal
normal,normal,normal,normal,normal,form_sub,normal,sem_sub,normal,normal
form_sub,form_sub,normal,normal,normal,sem_sub,normal,normal,normal,normal
insert,normal,normal,normal,normal,normal,normal,normal,normal,normal
insert,normal,sem_sub,normal,insert,normal,normal,normal,form_sub,normal
form_sub,normal,insert,normal,form_sub,normal,normal,normal,normal,normal
normal,normal,normal,normal,normal,form_sub,sem_sub,form_sub,normal,normal
