dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
clark2026,0,0,The,3.9742,2.9243,1.0498,11,0
clark2026,0,1,boy,9.7210,8.8183,0.9027,11,0
clark2026,0,2,kicked,8.1542,10.6375,-2.4833,11,0
clark2026,0,3,the,1.6247,2.9243,-1.2996,11,0
clark2026,0,4,big,5.8117,7.6670,-1.8553,11,0
clark2026,0,5,round,6.4631,8.8883,-2.4252,11,0
clark2026,0,6,ball,5.8645,9.1150,-3.2505,11,0
clark2026,0,7,into,3.8707,6.6531,-2.7824,11,0
clark2026,0,8,the,0.3449,2.9243,-2.5794,11,0
clark2026,0,9,net,4.6776,9.7637,-5.0861,11,0
clark2026,0,10,.,2.1793,2.3026,-0.1232,11,0
clark2026,0,11,<eos>,6.1938,2.3026,3.8912,11,0
clark2026,1,0,The,3.9738,2.9243,1.0495,10,0
clark2026,1,1,boy,9.7210,8.8183,0.9027,10,0
clark2026,1,2,kicked,8.1544,10.6375,-2.4830,10,0
clark2026,1,3,the,1.6246,2.9243,-1.2997,10,0
clark2026,1,4,big,5.8115,7.6670,-1.8555,10,0
clark2026,1,5,round,6.4629,8.8883,-2.4254,10,0
clark2026,1,6,lollipop,15.1326,13.4719,1.6606,10,0
clark2026,1,7,with,3.6604,4.9505,-1.2900,10,0
clark2026,1,8,delight,8.3327,11.5823,-3.2496,10,0
clark2026,1,9,.,1.3404,2.3026,-0.9622,10,0
clark2026,1,10,<eos>,5.5550,2.3026,3.2524,10,0
clark2026,2,0,The,3.9742,2.9243,1.0498,11,0
clark2026,2,1,boy,9.7210,8.8183,0.9027,11,0
clark2026,2,2,kicked,8.1542,10.6375,-2.4833,11,0
clark2026,2,3,the,1.6247,2.9243,-1.2996,11,0
clark2026,2,4,big,5.8117,7.6670,-1.8553,11,0
clark2026,2,5,round,6.4631,8.8883,-2.4252,11,0
clark2026,2,6,breath,14.6473,10.3160,4.3313,11,0
clark2026,2,7,after,4.5872,6.6531,-2.0660,11,0
clark2026,2,8,the,1.6107,2.9243,-1.3137,11,0
clark2026,2,9,run,6.0750,8.0822,-2.0072,11,0
clark2026,2,10,.,2.2544,2.3026,-0.0482,11,0
clark2026,2,11,<eos>,6.0596,2.3026,3.7570,11,0
