dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
gibson2013,0,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,0,1,sister,11.4341,9.3258,2.1083,8,0
gibson2013,0,2,mailed,12.0525,12.6649,-0.6124,8,0
gibson2013,0,3,the,1.9671,2.9243,-0.9573,8,0
gibson2013,0,4,letter,3.0847,9.3258,-6.2410,8,0
gibson2013,0,5,the,6.1282,2.9243,3.2038,8,0
gibson2013,0,6,niece,10.6803,11.9269,-1.2467,8,0
gibson2013,0,7,.,4.2498,2.3026,1.9472,8,0
gibson2013,0,8,<eos>,6.0711,2.3026,3.7685,8,0
gibson2013,1,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,1,1,sister,11.4341,9.3258,2.1083,8,0
gibson2013,1,2,mailed,12.0525,12.6649,-0.6124,8,0
gibson2013,1,3,the,1.9671,2.9243,-0.9573,8,0
gibson2013,1,4,niece,11.1598,11.9269,-0.7671,8,0
gibson2013,1,5,the,4.2098,2.9243,1.2855,8,0
gibson2013,1,6,letter,2.6710,9.3258,-6.6548,8,0
gibson2013,1,7,.,3.0093,2.3026,0.7067,8,0
gibson2013,1,8,<eos>,5.7202,2.3026,3.4176,8,0
gibson2013,2,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,2,1,sister,11.4341,9.3258,2.1083,9,0
gibson2013,2,2,mailed,12.0525,12.6649,-0.6124,9,0
gibson2013,2,3,the,1.9671,2.9243,-0.9573,9,0
gibson2013,2,4,niece,11.1598,11.9269,-0.7671,9,0
gibson2013,2,5,to,1.1097,3.6156,-2.5059,9,0
gibson2013,2,6,the,1.4818,2.9243,-1.4426,9,0
gibson2013,2,7,letter,6.0985,9.3258,-3.2273,9,0
gibson2013,2,8,.,2.3937,2.3026,0.0911,9,0
gibson2013,2,9,<eos>,5.6250,2.3026,3.3224,9,0
gibson2013,3,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,3,1,sister,11.4341,9.3258,2.1083,9,0
gibson2013,3,2,mailed,12.0525,12.6649,-0.6124,9,0
gibson2013,3,3,the,1.9671,2.9243,-0.9573,9,0
gibson2013,3,4,letter,3.0847,9.3258,-6.2410,9,0
gibson2013,3,5,to,0.6290,3.6156,-2.9866,9,0
gibson2013,3,6,the,1.4742,2.9243,-1.4502,9,0
gibson2013,3,7,niece,10.3753,11.9269,-1.5516,9,0
gibson2013,3,8,.,3.0120,2.3026,0.7094,9,0
gibson2013,3,9,<eos>,5.9320,2.3026,3.6294,9,0
gibson2013,4,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,4,1,mother,8.5891,8.6565,-0.0673,8,0
gibson2013,4,2,gave,6.1418,8.6337,-2.4919,8,0
gibson2013,4,3,the,2.4375,2.9243,-0.4869,8,0
gibson2013,4,4,candle,9.9698,11.7887,-1.8189,8,0
gibson2013,4,5,the,2.9794,2.9243,0.0551,8,0
gibson2013,4,6,daughter,8.6644,9.0533,-0.3890,8,0
gibson2013,4,7,.,4.1463,2.3026,1.8437,8,0
gibson2013,4,8,<eos>,6.1017,2.3026,3.7991,8,0
gibson2013,5,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,5,1,mother,8.5891,8.6565,-0.0673,8,0
gibson2013,5,2,gave,6.1418,8.6337,-2.4919,8,0
gibson2013,5,3,the,2.4375,2.9243,-0.4869,8,0
gibson2013,5,4,daughter,4.0948,9.0533,-4.9585,8,0
gibson2013,5,5,the,1.9809,2.9243,-0.9434,8,0
gibson2013,5,6,candle,10.1130,11.7887,-1.6757,8,0
gibson2013,5,7,.,2.6943,2.3026,0.3918,8,0
gibson2013,5,8,<eos>,5.6813,2.3026,3.3787,8,0
gibson2013,6,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,6,1,mother,8.5891,8.6565,-0.0673,9,0
gibson2013,6,2,gave,6.1418,8.6337,-2.4919,9,0
gibson2013,6,3,the,2.4375,2.9243,-0.4869,9,0
gibson2013,6,4,daughter,4.0948,9.0533,-4.9585,9,0
gibson2013,6,5,to,3.6264,3.6156,0.0108,9,0
gibson2013,6,6,the,1.5957,2.9243,-1.3287,9,0
gibson2013,6,7,candle,10.5314,11.7887,-1.2573,9,0
gibson2013,6,8,.,2.2613,2.3026,-0.0413,9,0
gibson2013,6,9,<eos>,5.7896,2.3026,3.4870,9,0
gibson2013,7,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,7,1,mother,8.5891,8.6565,-0.0673,9,0
gibson2013,7,2,gave,6.1418,8.6337,-2.4919,9,0
gibson2013,7,3,the,2.4375,2.9243,-0.4869,9,0
gibson2013,7,4,candle,9.9698,11.7887,-1.8189,9,0
gibson2013,7,5,to,1.3123,3.6156,-2.3033,9,0
gibson2013,7,6,the,1.0734,2.9243,-1.8510,9,0
gibson2013,7,7,daughter,5.9220,9.0533,-3.1313,9,0
gibson2013,7,8,.,2.7936,2.3026,0.4910,9,0
gibson2013,7,9,<eos>,6.1426,2.3026,3.8400,9,0
gibson2013,8,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,8,1,uncle,12.8707,10.4762,2.3945,8,0
gibson2013,8,2,sold,9.7559,9.2797,0.4762,8,0
gibson2013,8,3,the,2.0118,2.9243,-0.9126,8,0
gibson2013,8,4,truck,6.6428,10.0382,-3.3954,8,0
gibson2013,8,5,the,5.6942,2.9243,2.7698,8,0
gibson2013,8,6,father,6.9718,8.6115,-1.6397,8,0
gibson2013,8,7,.,5.1684,2.3026,2.8658,8,0
gibson2013,8,8,<eos>,7.1645,2.3026,4.8620,8,0
gibson2013,9,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,9,1,uncle,12.8707,10.4762,2.3945,8,0
gibson2013,9,2,sold,9.7559,9.2797,0.4762,8,0
gibson2013,9,3,the,2.0118,2.9243,-0.9126,8,0
gibson2013,9,4,father,7.1723,8.6115,-1.4392,8,0
gibson2013,9,5,the,5.4443,2.9243,2.5200,8,0
gibson2013,9,6,truck,6.9230,10.0382,-3.1152,8,0
gibson2013,9,7,.,2.6867,2.3026,0.3841,8,0
gibson2013,9,8,<eos>,6.8756,2.3026,4.5730,8,0
gibson2013,10,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,10,1,uncle,12.8707,10.4762,2.3945,9,0
gibson2013,10,2,sold,9.7559,9.2797,0.4762,9,0
gibson2013,10,3,the,2.0118,2.9243,-0.9126,9,0
gibson2013,10,4,father,7.1723,8.6115,-1.4392,9,0
gibson2013,10,5,to,1.9074,3.6156,-1.7082,9,0
gibson2013,10,6,the,1.4553,2.9243,-1.4690,9,0
gibson2013,10,7,truck,8.2626,10.0382,-1.7756,9,0
gibson2013,10,8,.,3.2116,2.3026,0.9091,9,0
gibson2013,10,9,<eos>,6.8104,2.3026,4.5079,9,0
gibson2013,11,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,11,1,uncle,12.8707,10.4762,2.3945,9,0
gibson2013,11,2,sold,9.7559,9.2797,0.4762,9,0
gibson2013,11,3,the,2.0118,2.9243,-0.9126,9,0
gibson2013,11,4,truck,6.6428,10.0382,-3.3954,9,0
gibson2013,11,5,to,1.2891,3.6156,-2.3265,9,0
gibson2013,11,6,the,1.5905,2.9243,-1.3339,9,0
gibson2013,11,7,father,5.9912,8.6115,-2.6203,9,0
gibson2013,11,8,.,2.5328,2.3026,0.2303,9,0
gibson2013,11,9,<eos>,6.7566,2.3026,4.4540,9,0
gibson2013,12,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,12,1,contractor,10.3508,11.3306,-0.9798,8,0
gibson2013,12,2,lent,11.5745,12.0892,-0.5147,8,0
gibson2013,12,3,the,2.6153,2.9243,-0.3090,8,0
gibson2013,12,4,saw,11.7043,8.4264,3.2778,8,0
gibson2013,12,5,the,4.1775,2.9243,1.2532,8,0
gibson2013,12,6,homeowner,10.6377,13.3581,-2.7204,8,0
gibson2013,12,7,.,4.5649,2.3026,2.2623,8,0
gibson2013,12,8,<eos>,6.3889,2.3026,4.0863,8,0
gibson2013,13,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,13,1,contractor,10.3508,11.3306,-0.9798,8,0
gibson2013,13,2,lent,11.5745,12.0892,-0.5147,8,0
gibson2013,13,3,the,2.6153,2.9243,-0.3090,8,0
gibson2013,13,4,homeowner,9.0448,13.3581,-4.3132,8,0
gibson2013,13,5,the,2.8535,2.9243,-0.0709,8,0
gibson2013,13,6,saw,11.5689,8.4264,3.1425,8,0
gibson2013,13,7,.,4.6836,2.3026,2.3810,8,0
gibson2013,13,8,<eos>,5.6612,2.3026,3.3586,8,0
gibson2013,14,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,14,1,contractor,10.3508,11.3306,-0.9798,9,0
gibson2013,14,2,lent,11.5745,12.0892,-0.5147,9,0
gibson2013,14,3,the,2.6153,2.9243,-0.3090,9,0
gibson2013,14,4,homeowner,9.0448,13.3581,-4.3132,9,0
gibson2013,14,5,to,1.5232,3.6156,-2.0925,9,0
gibson2013,14,6,the,2.0403,2.9243,-0.8841,9,0
gibson2013,14,7,saw,11.7478,8.4264,3.3213,9,0
gibson2013,14,8,.,3.5938,2.3026,1.2912,9,0
gibson2013,14,9,<eos>,5.5823,2.3026,3.2797,9,0
gibson2013,15,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,15,1,contractor,10.3508,11.3306,-0.9798,9,0
gibson2013,15,2,lent,11.5745,12.0892,-0.5147,9,0
gibson2013,15,3,the,2.6153,2.9243,-0.3090,9,0
gibson2013,15,4,saw,11.7043,8.4264,3.2778,9,0
gibson2013,15,5,to,1.0667,3.6156,-2.5490,9,0
gibson2013,15,6,the,1.1703,2.9243,-1.7541,9,0
gibson2013,15,7,homeowner,10.8343,13.3581,-2.5238,9,0
gibson2013,15,8,.,3.1828,2.3026,0.8802,9,0
gibson2013,15,9,<eos>,5.9584,2.3026,3.6559,9,0
gibson2013,16,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,16,1,sailing,13.8698,11.5362,2.3336,9,0
gibson2013,16,2,club,5.1968,8.7529,-3.5561,9,0
gibson2013,16,3,leased,11.9588,12.3876,-0.4287,9,0
gibson2013,16,4,the,1.7708,2.9243,-1.1535,9,0
gibson2013,16,5,boat,4.1616,9.8778,-5.7162,9,0
gibson2013,16,6,the,4.8662,2.9243,1.9419,9,0
gibson2013,16,7,man,7.2911,7.3218,-0.0307,9,0
gibson2013,16,8,.,5.0379,2.3026,2.7354,9,0
gibson2013,16,9,<eos>,6.8044,2.3026,4.5018,9,0
gibson2013,17,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,17,1,sailing,13.8698,11.5362,2.3336,9,0
gibson2013,17,2,club,5.1968,8.7529,-3.5561,9,0
gibson2013,17,3,leased,11.9588,12.3876,-0.4287,9,0
