dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
huang2024,0,0,The,3.9738,2.9243,1.0495,13,0
huang2024,0,1,suspect,10.5268,10.3374,0.1895,13,0
huang2024,0,2,showed,7.5546,9.5333,-1.9787,13,0
huang2024,0,3,the,3.1159,2.9243,0.1915,13,0
huang2024,0,4,file,8.0683,9.7866,-1.7183,13,0
huang2024,0,5,deserved,13.2864,11.1908,2.0956,13,0
huang2024,0,6,further,7.9750,8.4974,-0.5224,13,0
huang2024,0,7,investigation,1.8111,9.7866,-7.9754,13,0
huang2024,0,8,during,6.8973,7.5521,-0.6548,13,0
huang2024,0,9,the,1.2035,2.9243,-1.7208,13,0
huang2024,0,10,murder,5.6382,9.5333,-3.8951,13,0
huang2024,0,11,trial,1.8342,9.5101,-7.6759,13,0
huang2024,0,12,.,1.2006,2.3026,-1.1019,13,0
huang2024,0,13,<eos>,3.9999,2.3026,1.6973,13,0
huang2024,1,0,Because,7.4900,6.8401,0.6499,14,0
huang2024,1,1,the,2.4511,2.9243,-0.4733,14,0
huang2024,1,2,suspect,10.8972,10.3374,0.5598,14,0
huang2024,1,3,changed,8.5903,9.0533,-0.4631,14,0
huang2024,1,4,the,1.7744,2.9243,-1.1499,14,0
huang2024,1,5,file,6.6964,9.7866,-3.0902,14,0
huang2024,1,6,deserved,17.4163,11.1908,6.2255,14,0
huang2024,1,7,further,7.6726,8.4974,-0.8248,14,0
huang2024,1,8,investigation,2.1862,9.7866,-7.6004,14,0
huang2024,1,9,during,6.5038,7.5521,-1.0483,14,0
huang2024,1,10,the,0.8321,2.9243,-2.0922,14,0
huang2024,1,11,jury,7.1787,10.3848,-3.2061,14,0
huang2024,1,12,discussions,9.9150,10.8658,-0.9509,14,0
huang2024,1,13,.,1.8659,2.3026,-0.4367,14,0
huang2024,1,14,<eos>,4.6754,2.3026,2.3728,14,0
huang2024,2,0,The,3.9738,2.9243,1.0495,13,0
huang2024,2,1,suspect,10.5268,10.3374,0.1895,13,0
huang2024,2,2,sent,7.7696,8.8388,-1.0691,13,0
huang2024,2,3,the,2.5821,2.9243,-0.3422,13,0
huang2024,2,4,file,6.1494,9.7866,-3.6372,13,0
huang2024,2,5,deserved,13.1931,11.1908,2.0023,13,0
huang2024,2,6,further,8.1783,8.4974,-0.3191,13,0
huang2024,2,7,investigation,2.2292,9.7866,-7.5574,13,0
huang2024,2,8,given,9.3354,8.2664,1.0690,13,0
huang2024,2,9,the,1.0549,2.9243,-1.8694,13,0
