dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
moses,0,0,How,5.4199,6.3539,-0.9340,13,0
moses,0,1,many,3.1978,7.1148,-3.9170,13,0
moses,0,2,animals,7.2829,9.5785,-2.2956,13,0
moses,0,3,of,5.3235,3.6849,1.6386,13,0
moses,0,4,each,5.4198,7.6211,-2.2013,13,0
moses,0,5,kind,3.5071,8.1736,-4.6665,13,0
moses,0,6,did,4.0293,6.9999,-2.9706,13,0
moses,0,7,Moses,10.1586,11.5590,-1.4004,13,0
moses,0,8,take,4.2951,7.0917,-2.7966,13,0
moses,0,9,on,3.0760,4.8122,-1.7362,13,0
moses,0,10,the,0.9546,2.9243,-1.9698,13,0
moses,0,11,ark,10.6104,12.0892,-1.4788,13,0
moses,0,12,?,2.3427,2.3026,0.0401,13,0
moses,0,13,<eos>,5.2889,2.3026,2.9863,13,0
