dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
qian2023,0,0,The,3.9738,2.9243,1.0495,12,0
qian2023,0,1,location,8.2024,9.5333,-1.3310,12,0
qian2023,0,2,of,0.3467,3.6849,-3.3382,12,0
qian2023,0,3,the,0.9408,2.9243,-1.9835,12,0
qian2023,0,4,star,7.8603,8.7721,-0.9118,12,0
qian2023,0,5,has,4.5323,6.0576,-1.5253,12,0
qian2023,0,6,caught,8.5371,9.4410,-0.9039,12,0
qian2023,0,7,attention,4.8075,8.9557,-4.1482,12,0
qian2023,0,8,of,3.9331,3.6849,0.2483,12,0
qian2023,0,9,some,3.8739,6.4503,-2.5765,12,0
qian2023,0,10,astronomers,6.6974,12.8952,-6.1978,12,0
qian2023,0,11,.,1.8154,2.3026,-0.4872,12,0
qian2023,0,12,<eos>,5.8557,2.3026,3.5531,12,0
qian2023,1,0,The,3.9738,2.9243,1.0495,12,0
qian2023,1,1,location,8.2024,9.5333,-1.3310,12,0
qian2023,1,2,of,0.3467,3.6849,-3.3382,12,0
qian2023,1,3,the,0.9408,2.9243,-1.9835,12,0
qian2023,1,4,star,7.8603,8.7721,-0.9118,12,0
qian2023,1,5,have,7.4554,5.2726,2.1828,12,0
qian2023,1,6,caught,9.0572,9.4410,-0.3838,12,0
qian2023,1,7,attention,5.2051,8.9557,-3.7506,12,0
qian2023,1,8,of,3.9060,3.6849,0.2211,12,0
qian2023,1,9,some,3.9301,6.4503,-2.5202,12,0
qian2023,1,10,astronomers,6.8309,12.8952,-6.0643,12,0
qian2023,1,11,.,1.9042,2.3026,-0.3984,12,0
qian2023,1,12,<eos>,5.8489,2.3026,3.5463,12,0
qian2023,2,0,The,3.9738,2.9243,1.0495,12,0
qian2023,2,1,location,8.2024,9.5333,-1.3310,12,0
qian2023,2,2,of,0.3467,3.6849,-3.3382,12,0
qian2023,2,3,the,0.9408,2.9243,-1.9835,12,0
qian2023,2,4,stars,8.4239,9.5333,-1.1094,12,0
qian2023,2,5,has,5.0975,6.0576,-0.9601,12,0
qian2023,2,6,caught,8.8389,9.4410,-0.6021,12,0
qian2023,2,7,attention,4.7190,8.9557,-4.2367,12,0
qian2023,2,8,of,4.3548,3.6849,0.6699,12,0
qian2023,2,9,some,3.6172,6.4503,-2.8331,12,0
qian2023,2,10,astronomers,5.1699,12.8952,-7.7254,12,0
qian2023,2,11,.,1.7766,2.3026,-0.5260,12,0
qian2023,2,12,<eos>,5.9634,2.3026,3.6608,12,0
qian2023,3,0,The,3.9738,2.9243,1.0495,12,0
qian2023,3,1,location,8.2024,9.5333,-1.3310,12,0
