dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
ryskin2021,0,0,Someone,10.8313,7.7587,3.0726,11,0
ryskin2021,0,1,who,3.4384,6.1239,-2.6855,11,0
ryskin2021,0,2,has,2.3992,6.0576,-3.6584,11,0
ryskin2021,0,3,fought,7.8142,10.3848,-2.5705,11,0
ryskin2021,0,4,in,2.3662,3.9846,-1.6184,11,0
ryskin2021,0,5,a,3.3160,3.7766,-0.4606,11,0
ryskin2021,0,6,war,2.5344,8.1526,-5.6182,11,0
ryskin2021,0,7,is,6.4256,4.4482,1.9775,11,0
ryskin2021,0,8,a,2.4017,3.7766,-1.3749,11,0
ryskin2021,0,9,veteran,8.1794,11.0305,-2.8511,11,0
ryskin2021,0,10,.,2.6901,2.3026,0.3875,11,0
ryskin2021,0,11,<eos>,6.3346,2.3026,4.0320,11,0
ryskin2021,1,0,Someone,10.8312,7.7587,3.0725,11,0
ryskin2021,1,1,who,3.4385,6.1239,-2.6854,11,0
ryskin2021,1,2,has,2.3992,6.0576,-3.6584,11,0
ryskin2021,1,3,fought,7.8141,10.3848,-2.5706,11,0
ryskin2021,1,4,in,2.3665,3.9846,-1.6181,11,0
ryskin2021,1,5,a,3.3159,3.7766,-0.4608,11,0
ryskin2021,1,6,war,2.5344,8.1526,-5.6182,11,0
ryskin2021,1,7,is,6.4274,4.4482,1.9792,11,0
ryskin2021,1,8,a,2.4017,3.7766,-1.3749,11,0
ryskin2021,1,9,veterinarian,11.7687,13.3773,-1.6085,11,0
ryskin2021,1,10,.,1.2102,2.3026,-1.0924,11,0
ryskin2021,1,11,<eos>,6.4053,2.3026,4.1027,11,0
ryskin2021,2,0,Someone,10.8312,7.7587,3.0725,11,0
ryskin2021,2,1,who,3.4385,6.1239,-2.6854,11,0
ryskin2021,2,2,has,2.3992,6.0576,-3.6584,11,0
ryskin2021,2,3,fought,7.8141,10.3848,-2.5706,11,0
ryskin2021,2,4,in,2.3665,3.9846,-1.6181,11,0
ryskin2021,2,5,a,3.3159,3.7766,-0.4608,11,0
ryskin2021,2,6,war,2.5344,8.1526,-5.6182,11,0
ryskin2021,2,7,is,6.4274,4.4482,1.9792,11,0
ryskin2021,2,8,a,2.4017,3.7766,-1.3749,11,0
ryskin2021,2,9,rhinestone,18.1053,14.7368,3.3685,11,0
ryskin2021,2,10,.,2.1088,2.3026,-0.1938,11,0
ryskin2021,2,11,<eos>,6.4539,2.3026,4.1514,11,0
ryskin2021,3,0,Someone,10.8313,7.7587,3.0726,11,0
ryskin2021,3,1,who,3.4384,6.1239,-2.6855,11,0
ryskin2021,3,2,has,2.3992,6.0576,-3.6584,11,0
ryskin2021,3,3,fought,7.8142,10.3848,-2.5705,11,0
ryskin2021,3,4,in,2.3662,3.9846,-1.6184,11,0
ryskin2021,3,5,a,3.3160,3.7766,-0.4606,11,0
ryskin2021,3,6,war,2.5344,8.1526,-5.6182,11,0
ryskin2021,3,7,is,6.4256,4.4482,1.9775,11,0
ryskin2021,3,8,a,2.4017,3.7766,-1.3749,11,0
ryskin2021,3,9,veterans,10.4440,10.7290,-0.2850,11,0
ryskin2021,3,10,.,4.4088,2.3026,2.1062,11,0
ryskin2021,3,11,<eos>,6.5613,2.3026,4.2587,11,0
ryskin2021,4,0,The,3.9738,2.9243,1.0495,11,0
ryskin2021,4,1,woman,8.5275,8.4039,0.1237,11,0
ryskin2021,4,2,brought,7.1501,8.8388,-1.6887,11,0
ryskin2021,4,3,her,2.0500,6.2146,-4.1646,11,0
ryskin2021,4,4,sick,8.6672,9.4861,-0.8189,11,0
ryskin2021,4,5,pet,6.2332,10.4762,-4.2430,11,0
ryskin2021,4,6,dog,4.9396,8.9792,-4.0397,11,0
ryskin2021,4,7,to,1.1407,3.6156,-2.4750,11,0
ryskin2021,4,8,a,2.2798,3.7766,-1.4968,11,0
ryskin2021,4,9,veterinarian,4.3214,13.3773,-9.0558,11,0
ryskin2021,4,10,.,1.8836,2.3026,-0.4190,11,0
ryskin2021,4,11,<eos>,5.7735,2.3026,3.4709,11,0
ryskin2021,5,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,5,1,woman,8.5278,8.4039,0.1240,11,0
ryskin2021,5,2,brought,7.1500,8.8388,-1.6888,11,0
ryskin2021,5,3,her,2.0498,6.2146,-4.1648,11,0
ryskin2021,5,4,sick,8.6671,9.4861,-0.8190,11,0
ryskin2021,5,5,pet,6.2333,10.4762,-4.2429,11,0
ryskin2021,5,6,dog,4.9389,8.9792,-4.0403,11,0
ryskin2021,5,7,to,1.1407,3.6156,-2.4750,11,0
ryskin2021,5,8,a,2.2794,3.7766,-1.4972,11,0
ryskin2021,5,9,veteran,12.6392,11.0305,1.6087,11,0
ryskin2021,5,10,.,3.5300,2.3026,1.2275,11,0
ryskin2021,5,11,<eos>,6.1103,2.3026,3.8078,11,0
ryskin2021,6,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,6,1,woman,8.5278,8.4039,0.1240,11,0
ryskin2021,6,2,brought,7.1500,8.8388,-1.6888,11,0
ryskin2021,6,3,her,2.0498,6.2146,-4.1648,11,0
ryskin2021,6,4,sick,8.6671,9.4861,-0.8190,11,0
ryskin2021,6,5,pet,6.2333,10.4762,-4.2429,11,0
ryskin2021,6,6,dog,4.9389,8.9792,-4.0403,11,0
ryskin2021,6,7,to,1.1407,3.6156,-2.4750,11,0
ryskin2021,6,8,a,2.2794,3.7766,-1.4972,11,0
ryskin2021,6,9,carton,11.5899,13.3773,-1.7873,11,0
ryskin2021,6,10,.,2.3109,2.3026,0.0083,11,0
ryskin2021,6,11,<eos>,6.1773,2.3026,3.8747,11,0
ryskin2021,7,0,The,3.9738,2.9243,1.0495,11,0
ryskin2021,7,1,woman,8.5275,8.4039,0.1237,11,0
ryskin2021,7,2,brought,7.1501,8.8388,-1.6887,11,0
ryskin2021,7,3,her,2.0500,6.2146,-4.1646,11,0
ryskin2021,7,4,sick,8.6672,9.4861,-0.8189,11,0
ryskin2021,7,5,pet,6.2332,10.4762,-4.2430,11,0
ryskin2021,7,6,dog,4.9396,8.9792,-4.0397,11,0
ryskin2021,7,7,to,1.1407,3.6156,-2.4750,11,0
ryskin2021,7,8,a,2.2798,3.7766,-1.4968,11,0
ryskin2021,7,9,veterinarians,15.7962,14.0691,1.7271,11,0
ryskin2021,7,10,.,4.6061,2.3026,2.3035,11,0
ryskin2021,7,11,<eos>,5.8718,2.3026,3.5692,11,0
ryskin2021,8,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,8,1,vintage,11.2048,11.1008,0.1040,11,0
ryskin2021,8,2,wedding,8.9312,9.6019,-0.6707,11,0
ryskin2021,8,3,dress,3.7015,9.7637,-6.0623,11,0
ryskin2021,8,4,was,3.0423,5.0192,-1.9769,11,0
ryskin2021,8,5,big,7.5943,7.6670,-0.0727,11,0
ryskin2021,8,6,and,1.6665,3.6613,-1.9948,11,0
ryskin2021,8,7,required,8.5406,9.1616,-0.6209,11,0
ryskin2021,8,8,an,3.9664,5.6869,-1.7205,11,0
ryskin2021,8,9,alteration,6.5399,13.0547,-6.5148,11,0
ryskin2021,8,10,.,2.6019,2.3026,0.2993,11,0
ryskin2021,8,11,<eos>,5.9773,2.3026,3.6747,11,0
ryskin2021,9,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,9,1,vintage,11.2048,11.1008,0.1040,11,0
ryskin2021,9,2,wedding,8.9312,9.6019,-0.6707,11,0
ryskin2021,9,3,dress,3.7015,9.7637,-6.0623,11,0
ryskin2021,9,4,was,3.0423,5.0192,-1.9769,11,0
ryskin2021,9,5,big,7.5943,7.6670,-0.0727,11,0
ryskin2021,9,6,and,1.6665,3.6613,-1.9948,11,0
ryskin2021,9,7,required,8.5406,9.1616,-0.6209,11,0
ryskin2021,9,8,an,3.9664,5.6869,-1.7205,11,0
ryskin2021,9,9,altercation,9.9532,13.5379,-3.5847,11,0
ryskin2021,9,10,.,1.5503,2.3026,-0.7523,11,0
ryskin2021,9,11,<eos>,5.7676,2.3026,3.4650,11,0
ryskin2021,10,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,10,1,vintage,11.2048,11.1008,0.1040,11,0
ryskin2021,10,2,wedding,8.9312,9.6019,-0.6707,11,0
ryskin2021,10,3,dress,3.7015,9.7637,-6.0623,11,0
ryskin2021,10,4,was,3.0423,5.0192,-1.9769,11,0
ryskin2021,10,5,big,7.5943,7.6670,-0.0727,11,0
ryskin2021,10,6,and,1.6665,3.6613,-1.9948,11,0
ryskin2021,10,7,required,8.5406,9.1616,-0.6209,11,0
ryskin2021,10,8,an,3.9664,5.6869,-1.7205,11,0
ryskin2021,10,9,inferno,12.4165,13.1224,-0.7059,11,0
ryskin2021,10,10,.,1.6417,2.3026,-0.6609,11,0
ryskin2021,10,11,<eos>,5.8902,2.3026,3.5876,11,0
ryskin2021,11,0,The,3.9742,2.9243,1.0498,11,0
ryskin2021,11,1,vintage,11.2048,11.1008,0.1040,11,0
ryskin2021,11,2,wedding,8.9312,9.6019,-0.6707,11,0
ryskin2021,11,3,dress,3.7015,9.7637,-6.0623,11,0
ryskin2021,11,4,was,3.0423,5.0192,-1.9769,11,0
ryskin2021,11,5,big,7.5943,7.6670,-0.0727,11,0
ryskin2021,11,6,and,1.6665,3.6613,-1.9948,11,0
ryskin2021,11,7,required,8.5406,9.1616,-0.6209,11,0
ryskin2021,11,8,an,3.9664,5.6869,-1.7205,11,0
