dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
tabor2004,0,0,The,3.9745,2.9243,1.0501,15,0
tabor2004,0,1,kindergartners,18.4074,15.7745,2.6329,15,0
tabor2004,0,2,liked,8.1946,9.7637,-1.5691,15,0
tabor2004,0,3,the,1.3489,2.9243,-1.5754,15,0
tabor2004,0,4,little,5.1117,7.4840,-2.3723,15,0
tabor2004,0,5,girl,3.0531,8.3349,-5.2818,15,0
tabor2004,0,6,who,3.1340,6.1239,-2.9899,15,0
tabor2004,0,7,was,2.2796,5.0192,-2.7396,15,0
tabor2004,0,8,chosen,8.2438,10.1093,-1.8655,15,0
tabor2004,0,9,a,4.7986,3.7766,1.0220,15,0
tabor2004,0,10,toy,6.8566,10.8198,-3.9632,15,0
tabor2004,0,11,by,3.9047,5.3882,-1.4835,15,0
tabor2004,0,12,her,1.8483,6.2146,-4.3663,15,0
tabor2004,0,13,parents,2.0799,8.7279,-6.6480,15,0
tabor2004,0,14,.,1.3929,2.3026,-0.9097,15,0
tabor2004,0,15,<eos>,5.5457,2.3026,3.2431,15,0
tabor2004,1,0,The,3.9745,2.9243,1.0501,13,0
tabor2004,1,1,kindergartners,18.4074,15.7745,2.6329,13,0
tabor2004,1,2,liked,8.1946,9.7637,-1.5691,13,0
tabor2004,1,3,the,1.3489,2.9243,-1.5754,13,0
tabor2004,1,4,little,5.1117,7.4840,-2.3723,13,0
tabor2004,1,5,girl,3.0531,8.3349,-5.2818,13,0
tabor2004,1,6,chosen,10.9336,10.1093,0.8244,13,0
tabor2004,1,7,a,3.1629,3.7766,-0.6137,13,0
tabor2004,1,8,toy,5.4051,10.8198,-5.4147,13,0
tabor2004,1,9,by,4.7569,5.3882,-0.6313,13,0
tabor2004,1,10,her,2.0580,6.2146,-4.1566,13,0
tabor2004,1,11,parents,3.1152,8.7279,-5.6128,13,0
tabor2004,1,12,.,1.4256,2.3026,-0.8770,13,0
tabor2004,1,13,<eos>,5.7840,2.3026,3.4814,13,0
tabor2004,2,0,The,3.9745,2.9243,1.0501,15,0
tabor2004,2,1,kindergartners,18.4074,15.7745,2.6329,15,0
tabor2004,2,2,liked,8.1946,9.7637,-1.5691,15,0
tabor2004,2,3,the,1.3489,2.9243,-1.5754,15,0
tabor2004,2,4,little,5.1117,7.4840,-2.3723,15,0
tabor2004,2,5,girl,3.0531,8.3349,-5.2818,15,0
tabor2004,2,6,who,3.1340,6.1239,-2.9899,15,0
tabor2004,2,7,was,2.2796,5.0192,-2.7396,15,0
tabor2004,2,8,brought,6.3827,8.8388,-2.4560,15,0
tabor2004,2,9,a,6.8541,3.7766,3.0775,15,0
tabor2004,2,10,toy,5.7603,10.8198,-5.0595,15,0
tabor2004,2,11,by,2.9625,5.3882,-2.4257,15,0
tabor2004,2,12,her,1.9252,6.2146,-4.2894,15,0
tabor2004,2,13,parents,3.0523,8.7279,-5.6756,15,0
tabor2004,2,14,.,1.5146,2.3026,-0.7880,15,0
tabor2004,2,15,<eos>,5.7774,2.3026,3.4748,15,0
tabor2004,3,0,The,3.9745,2.9243,1.0501,13,0
tabor2004,3,1,kindergartners,18.4074,15.7745,2.6329,13,0
tabor2004,3,2,liked,8.1946,9.7637,-1.5691,13,0
tabor2004,3,3,the,1.3489,2.9243,-1.5754,13,0
